x,y1,y2
-1000,21.528290000000027,5.31,6.84,5.32,6.84
-999,21.45789000000002,5.3,6.84,5.3,6.83
-998,20.788940000000025,5.29,6.84,5.3,6.83
-997,21.105799999999988,5.31,6.86,5.29,6.82
-996,20.929779999999994,5.29,6.85,5.3,6.82
-995,20.824160000000006,5.3,6.83,5.3,6.82
-994,21.38745,5.3,6.84,5.3,6.83
-993,21.809939999999983,5.29,6.83,5.31,6.82
-992,19.97924999999998,5.31,6.85,5.3,6.83
-991,20.436890000000005,5.3,6.85,5.29,6.82
-990,20.26085999999998,5.3,6.86,5.3,6.82
-989,21.140989999999988,5.3,6.85,5.3,6.83
-988,21.774720000000002,5.31,6.86,5.31,6.84
-987,20.36649,5.31,6.85,5.28,6.83
-986,18.21895999999998,5.32,6.86,5.29,6.84
-985,22.408389999999997,5.3,6.85,5.3,6.84
-984,21.00018,5.3,6.86,5.29,6.84
-983,21.211430000000007,5.31,6.85,5.28,6.83
-982,19.732820000000004,5.29,6.86,5.29,6.84
-981,20.859370000000013,5.3,6.85,5.31,6.84
-980,20.824160000000006,5.29,6.86,5.3,6.83
-979,20.894560000000013,5.3,6.85,5.31,6.82
-978,22.514040000000023,5.31,6.85,5.31,6.83
-977,20.71854000000002,5.3,6.86,5.3,6.82
-976,18.57101,5.29,6.86,5.3,6.83
-975,19.87360000000001,5.32,6.85,5.29,6.83
-974,19.97924999999998,5.3,6.85,5.3,6.84
-973,21.07062000000002,5.3,6.86,5.29,6.83
-972,21.03539999999998,5.3,6.85,5.29,6.83
-971,19.134310000000028,5.29,6.85,5.3,6.85
-970,22.725250000000017,5.29,6.85,5.3,6.85
-969,20.824160000000006,5.29,6.85,5.29,6.83
-968,20.753750000000025,5.31,6.87,5.3,6.83
-967,22.056370000000015,5.3,6.86,5.3,6.83
-966,22.021149999999977,5.31,6.86,5.31,6.84
-965,19.52157999999997,5.31,6.86,5.31,6.82
-964,21.528290000000027,5.3,6.86,5.3,6.84
